GEO_ID,NAME,S2301_C02_001E
48357,"Ochiltree County, Texas",66.3
48359,"Oldham County, Texas",64.4
48361,"Orange County, Texas",60.5
48363,"Palo Pinto County, Texas",56.3
48365,"Panola County, Texas",54.6
48367,"Parker County, Texas",62.7
48369,"Parmer County, Texas",62.1
48371,"Pecos County, Texas",51.1
48373,"Polk County, Texas",50.7
48375,"Potter County, Texas",59.6
48377,"Presidio County, Texas",51.9
48379,"Rains County, Texas",53.3
48381,"Randall County, Texas",69.3
48383,"Reagan County, Texas",67.7
48385,"Real County, Texas",43.4
48387,"Red River County, Texas",53
48389,"Reeves County, Texas",52
48391,"Refugio County, Texas",52.6
48393,"Roberts County, Texas",56.2
48395,"Robertson County, Texas",59.2
48397,"Rockwall County, Texas",68
48399,"Runnels County, Texas",55.6
48401,"Rusk County, Texas",53.3
48403,"Sabine County, Texas",38.8
48405,"San Augustine County, Texas",43.9
48407,"San Jacinto County, Texas",49.2
48409,"San Patricio County, Texas",59.3
48411,"San Saba County, Texas",52.8
48413,"Schleicher County, Texas",65.6
48415,"Scurry County, Texas",54.2
48417,"Shackelford County, Texas",60.7
48419,"Shelby County, Texas",53.8
48421,"Sherman County, Texas",63.9
48423,"Smith County, Texas",60.8
48425,"Somervell County, Texas",54
48427,"Starr County, Texas",57.1
48429,"Stephens County, Texas",53.5
48431,"Sterling County, Texas",70.9
48433,"Stonewall County, Texas",58.6
48435,"Sutton County, Texas",65.4
48437,"Swisher County, Texas",50.8
48439,"Tarrant County, Texas",68.2
48441,"Taylor County, Texas",65.6
48443,"Terrell County, Texas",46.3
48445,"Terry County, Texas",56.3
48447,"Throckmorton County, Texas",58
48449,"Titus County, Texas",63
48451,"Tom Green County, Texas",64.5
48453,"Travis County, Texas",72.7
48455,"Trinity County, Texas",46
48457,"Tyler County, Texas",42.7
48459,"Upshur County, Texas",56.1
48461,"Upton County, Texas",53
48463,"Uvalde County, Texas",57.2
48465,"Val Verde County, Texas",60
48467,"Van Zandt County, Texas",53.2
48469,"Victoria County, Texas",62.7
48471,"Walker County, Texas",43.5
48473,"Waller County, Texas",60.8
48475,"Ward County, Texas",60
48477,"Washington County, Texas",57.4
48479,"Webb County, Texas",59.8
48481,"Wharton County, Texas",59.7
48483,"Wheeler County, Texas",63.5
48485,"Wichita County, Texas",61.8
48487,"Wilbarger County, Texas",63.4
48489,"Willacy County, Texas",52.6
48491,"Williamson County, Texas",69.7
48493,"Wilson County, Texas",59.6
48495,"Winkler County, Texas",59.8
48497,"Wise County, Texas",60.6
48499,"Wood County, Texas",47.2
48501,"Yoakum County, Texas",63
48503,"Young County, Texas",59
48505,"Zapata County, Texas",58.1
48507,"Zavala County, Texas",52.1
