GEO_ID,NAME,S1502_C01_001E
48383,"Reagan County, Texas",228
48385,"Real County, Texas",392
48387,"Red River County, Texas",1112
48389,"Reeves County, Texas",1291
48391,"Refugio County, Texas",555
48393,"Roberts County, Texas",140
48395,"Robertson County, Texas",1870
48397,"Rockwall County, Texas",25668
48399,"Runnels County, Texas",1281
48401,"Rusk County, Texas",5700
48403,"Sabine County, Texas",1394
48405,"San Augustine County, Texas",853
48407,"San Jacinto County, Texas",2244
48409,"San Patricio County, Texas",6681
48411,"San Saba County, Texas",594
48413,"Schleicher County, Texas",326
48415,"Scurry County, Texas",1809
48417,"Shackelford County, Texas",683
48419,"Shelby County, Texas",2241
48421,"Sherman County, Texas",312
48423,"Smith County, Texas",39346
48425,"Somervell County, Texas",1650
48427,"Starr County, Texas",3515
48429,"Stephens County, Texas",1021
48431,"Sterling County, Texas",74
48433,"Stonewall County, Texas",146
48435,"Sutton County, Texas",438
48437,"Swisher County, Texas",766
48439,"Tarrant County, Texas",424067
48441,"Taylor County, Texas",21084
48443,"Terrell County, Texas",139
48445,"Terry County, Texas",910
48447,"Throckmorton County, Texas",237
48449,"Titus County, Texas",3253
48451,"Tom Green County, Texas",18481
48453,"Travis County, Texas",421360
48455,"Trinity County, Texas",1364
48457,"Tyler County, Texas",2026
48459,"Upshur County, Texas",4768
48461,"Upton County, Texas",234
48463,"Uvalde County, Texas",2996
48465,"Val Verde County, Texas",5425
48467,"Van Zandt County, Texas",6009
48469,"Victoria County, Texas",12033
48471,"Walker County, Texas",9701
48473,"Waller County, Texas",6034
48475,"Ward County, Texas",918
48477,"Washington County, Texas",6284
48479,"Webb County, Texas",28650
48481,"Wharton County, Texas",4861
48483,"Wheeler County, Texas",610
48485,"Wichita County, Texas",19455
48487,"Wilbarger County, Texas",1346
48489,"Willacy County, Texas",1178
48491,"Williamson County, Texas",149594
48493,"Wilson County, Texas",7197
48495,"Winkler County, Texas",380
48497,"Wise County, Texas",8003
48499,"Wood County, Texas",5366
48501,"Yoakum County, Texas",619
48503,"Young County, Texas",2402
48505,"Zapata County, Texas",933
48507,"Zavala County, Texas",770
